comment,toxic,lang
"Saab Lofton

Bu adam bir sahtekarlık! İddialarının çoğu yanlış. Çalışmalarını yalanlarla süslemeyi seviyor. Wikipedia'da herhangi bir söz alması herkes için haksızlıktır! ",1,tr
" == C penisinizde bir poo ve cum çiğnemek? ==
 Ben senin cum fuck istiyorum? ok>? ",1,tr
" bir slurgnog, dilsiz bir lapa foggart parçasısın! ",1,tr
" ""Ağustos 2006 (UTC)

Emmek üzerinde benim kıllı topları kaltak Hiçbir şey senin gibi moronları lanetlemek kadar tatlı değildir. Bitchass'ınızı lanetlemek için 100 Wiki hesabı daha harcayacağım. Kahrolası orospu, beni engelleyerek cezalandırdığını düşünüyor. Kahrolasý lanet olasý, sanki bu lanet bir hapishane ve sen de müdürsün. """" ",1,tr
" == gelecek ==

 O bir kaybeden ",1,tr
" LOL. Bir grup insanı yüzüne tokatlamanın bir yolu, o gruptan sonra insan özledim iletişimini göstermek için tasarlanmış bir oyunu adlandırmaktır. ",1,tr
" ""

 == Hızlı silme ==

 'Aptal' öğenin hızlı silme için geçerli bir kriter olmadığını lütfen unutmayın. ;) Şerefe, """,1,tr
" Şimdi sadece bir sürü geri dönüş yaptın. Gönderilerinizi inceledik ve sizi yabancı olduğunuzu ve Urantia hareketinin gerçek devam edenlerini anlamanızda başarısız olduğunuzu tespit ettik. Gerçekler, ",1,tr
 daha yeni kapattığınız. ?,1,tr
", seni aptal.

Üstümdeki adam doğrudur ",1,tr
 fuck you cracker nerd ,1,tr
" Gay!
Sayfanız bir MySpace profiline benziyor.
Srsly gibi, süper seri gibi. Kes şunu.
Soooo gay. ",1,tr
" Merhaba!

Siktir git, yüksek ve güçlü twat. Git kendini becer, çünkü herhangi bir eylemde olduğunu göremiyorum. ",1,tr
" hey cumtaster

cum tatma nasıl gidiyor? ",1,tr
 bok bok fuck fuck ,1,tr
" ""

 KENDİ KENDİNİZE GİDİN!

{{engellemeyi kaldır |

Üniversiteden mezun olduğumuzdan bu yana altı yıl geçti ve mezuniyetten bu yana ilk kez üçümüz de tekrar birlikteydik. Havaalanında hevesli sarılmak ve sonra sohbet ",1,tr
 Jusdafax biraz whiny orospu !!! Yalamak benim terli topları homo =) ,1,tr
" Siktir git Greenman

Kahrolasý bok parçasý.

Wikipedia'da isminizin onuruna sahip değilsiniz.

Ne kadar saygıyı hak etmiyorsun.

Kahrolasý lanet.

Luanda'da doğduğunu ve Timbacktu'da doktora LPD YXZ derecesi olduğunu söyleyerek Wikipedia'da Jose Eduardo dos Santos'a yanlış bilgi vermek, ",1,tr
" Dawnseeker,

 Sen şişman lanet kıçından kendini lanet gidebilir.

 Aşk,
 Dennis ",1,tr
 Re: Siz inanılmaz derecede aptalsınız ... ,1,tr
" Bu uyarıyı o moronlar sayfasında mükemmel geçerli bir yorum yapmak için kabul etmiyorum.
Siber çömelmiş bir web sitesinde kişisel olarak tanımlanabilir şeyler yayınladı ve sizler bu konuda her şeyi becerirsiniz! ",1,tr
